Unit,,g,kg CO2 eq,kg CFC11 eq,kBq U-235 eq,kg NMVOC eq,disease inc.,CTUh,CTUh,mol H+ eq,kg P eq,kg N eq,mol N eq,CTUe,Pt,m3 depriv.,MJ,kg Sb eq,mPt,,,,mPt,kg CO2 eq
Food item in AGB 3.1 (SimaPro name),Food item in AGB 3.1 (short name),Serving size (g),Climate change per kg,Ozone depletion,Ionising radiation,Photochemical ozone formation,Particulate matter,"Human toxicity, non-cancer","Human toxicity, cancer",Acidification,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Ecotoxicity, freshwater",Land use,Water use,"Resource use, fossils","Resource use, minerals and metals",Single score per kg,CIQUAL code,Food group,Food sub group,Single score per serving,Climate change per serving
"Mineral sparkling water (Ogeu), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Ogeu), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76089,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Orezza), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Orezza), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76030,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Parot), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Parot), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76031,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Perrier), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Perrier), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76060,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Puits St Georges), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Puits St Georges), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76034,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Quezac), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Quézac), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76035,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Reine des basaltes), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Reine des basaltes), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76036,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Rozana), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Rozana), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76037,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Salvetat), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Salvetat), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76039,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (San Pellegrino), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (San Pellegrino), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76075,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (St-Alban), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (St-Alban), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76092,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (St-Diery), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (St-Diéry), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76046,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Ste-Marguerite), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Ste-Marguerite), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76047,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (St-Geron), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (St-Géron), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76093,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (St-Michel-de-Mourcairol), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (St-Michel-de-Mourcairol), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76094,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (St-Yorre), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (St-Yorre), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76049,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Vals), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Vals), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76096,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Ventadour), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Ventadour), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76053,beverages,water,0.008254735,0.057903434
